mouse,conc,treatment,analyte,time,fold change
18,65.84381096,control,Corticosterone,6,1.128727873
19,6.768246418,control,Corticosterone,6,0.1160247
20,20.40868584,control,Corticosterone,6,0.349856004
31,70.24910302,control,Corticosterone,6,1.204245615
32,63.76628757,control,Corticosterone,6,1.093113917
33,11.80173994,control,Corticosterone,6,0.202311389
34,53.63654527,control,Corticosterone,6,0.919464757
35,72.5857901,control,Corticosterone,6,1.244302286
1,47.43681459,control,Corticosterone,8,0.841447183
2,87.30070692,control,Corticosterone,8,1.548563802
3,36.7560606,control,Corticosterone,8,0.65198905
4,52.81279875,control,Corticosterone,8,0.93680786
5,102.2319504,control,Corticosterone,8,1.81341828
16,75.01829574,control,Corticosterone,8,1.330695035
17,76.27211217,control,Corticosterone,8,1.352935574
18,43.97622407,control,Corticosterone,8,0.780062283
19,37.30550155,control,Corticosterone,8,0.661735183
20,21.64991098,control,Corticosterone,8,0.384032039
31,40.79461282,control,Corticosterone,8,0.723625993
32,72.5857901,control,Corticosterone,8,1.287546585
33,43.97622407,control,Corticosterone,8,0.780062283
34,50.42772029,control,Corticosterone,8,0.894500686
35,57.08437042,control,Corticosterone,8,1.012578166
1,17.71682613,control,Corticosterone,9,0.145421849
2,99.07830631,control,Corticosterone,9,0.813246707
3,182.6936386,control,Corticosterone,9,1.499571455
4,112.9298346,control,Corticosterone,9,0.926941724
5,74.42744476,control,Corticosterone,9,0.610909457
16,105.7060694,control,Corticosterone,9,0.867648187
17,3.69068937,control,Corticosterone,9,0.030293624
18,50.49819337,control,Corticosterone,9,0.414495271
19,295.4133612,control,Corticosterone,9,2.424788555
20,335.0100747,control,Corticosterone,9,2.749803162
31,94.96057508,control,Corticosterone,9,0.779447872
32,77.41604518,control,Corticosterone,9,0.635440251
33,137.2825047,control,Corticosterone,9,1.126831382
34,13.82572272,control,Corticosterone,9,0.113483202
35,226.8091986,control,Corticosterone,9,1.861677301
